,date,close_spot,volume_spot,close_fut,volume_fut,funding_mean,daily_funding_sum,funding_last,funding_first
0,2025-05-01 00:00:00+00:00,,,96423.3,184526.755,4.153333333333333e-06,1.246e-05,-8.028e-05,3.519e-05
1,2025-05-02 00:00:00+00:00,96887.14,14905.74811,96831.2,139197.526,-0.00010101,-0.00030303,-8.689e-05,-0.00012232
2,2025-05-03 00:00:00+00:00,95856.42,9723.34838,95803.3,71420.629,-1.4126666666666666e-05,-4.238e-05,-1.483e-05,-5.953e-05
3,2025-05-04 00:00:00+00:00,94277.62,11036.38342,94230.2,94260.877,2.448e-05,7.344e-05,3.745e-05,3.7e-06
4,2025-05-05 00:00:00+00:00,94733.68,17251.18189,94696.7,154902.375,-3.383333333333334e-06,-1.0150000000000004e-05,-2.247e-05,-2.404e-05
5,2025-05-06 00:00:00+00:00,96834.02,16122.64513,96798.9,173683.066,2.391666666666667e-05,7.175000000000001e-05,7.57e-06,1.978e-05
6,2025-05-07 00:00:00+00:00,97030.5,16644.83854,96988.4,185267.142,8.376666666666667e-06,2.513e-05,1.32e-05,1.218e-05
7,2025-05-08 00:00:00+00:00,103261.6,34962.02847,103228.1,317422.469,4.2180000000000006e-05,0.00012654,5.728e-05,2.318e-05
8,2025-05-09 00:00:00+00:00,102971.99,27617.39907,102941.9,172883.922,8.126e-05,0.00024378,4.378e-05,0.0001
9,2025-05-10 00:00:00+00:00,104809.53,15324.78611,104788.8,104384.537,7.971333333333333e-05,0.00023914,4.257e-05,9.657e-05
10,2025-05-11 00:00:00+00:00,104118.0,17987.12197,104072.7,139136.421,8.05e-05,0.0002415,0.0001,0.0001
11,2025-05-12 00:00:00+00:00,102791.32,31272.77792,102739.3,256542.699,5.585e-05,0.00016755,2.301e-05,4.454e-05
12,2025-05-13 00:00:00+00:00,104103.72,21253.42409,104082.0,162368.328,8.034333333333333e-05,0.00024103,7.256e-05,6.847e-05
13,2025-05-14 00:00:00+00:00,103507.82,16452.9081,103458.1,126264.097,6.879333333333332e-05,0.0002063799999999,3.175e-05,9.921e-05
14,2025-05-15 00:00:00+00:00,103763.71,17998.98604,103714.5,176344.106,3.251e-05,9.753e-05,1.439e-05,2.978e-05
15,2025-05-16 00:00:00+00:00,103463.9,15683.88024,103412.2,115513.049,5.6023333333333336e-05,0.00016807,4.768e-05,4.504e-05
16,2025-05-17 00:00:00+00:00,103126.65,11250.89622,103079.6,90372.669,2.2526666666666666e-05,6.758e-05,5.97e-06,2.821e-05
17,2025-05-18 00:00:00+00:00,106454.26,21599.98726,106407.6,173224.284,7.548333333333333e-05,0.00022645,0.0001,6.742e-05
18,2025-05-19 00:00:00+00:00,105573.74,30260.03524,105531.6,257825.604,4.713333333333333e-05,0.0001414,2.11e-05,5.99e-05
19,2025-05-20 00:00:00+00:00,106849.99,23705.48275,106800.1,226187.246,5.583666666666667e-05,0.00016751,1.266e-05,8.378e-05
20,2025-05-21 00:00:00+00:00,109643.99,45531.040345,109609.5,413589.854,7.011e-05,0.00021033,5.119e-05,8.767e-05
21,2025-05-22 00:00:00+00:00,111696.21,31630.77313,111662.7,246067.033,0.0001,0.0003,0.0001,0.0001
22,2025-05-23 00:00:00+00:00,107318.3,31737.72309,107271.5,279480.347,8.398666666666666e-05,0.0002519599999999,8.614e-05,9.321e-05
23,2025-05-24 00:00:00+00:00,107761.91,16782.53129,107698.9,165158.758,5.317e-05,0.00015951,7.837e-05,3.524e-05
24,2025-05-25 00:00:00+00:00,109004.19,17710.04695,108955.9,159465.803,6.186e-05,0.0001855799999999,3.651e-05,9.794e-05
25,2025-05-26 00:00:00+00:00,109434.79,14649.11593,109386.8,146992.22,9.037666666666669e-05,0.00027113,9.782e-05,7.331e-05
26,2025-05-27 00:00:00+00:00,108938.17,21276.65635,108889.3,223599.905,5.797333333333333e-05,0.00017392,2.476e-05,7.65e-05
27,2025-05-28 00:00:00+00:00,107781.78,15633.78829,107723.1,158417.759,3.597333333333333e-05,0.0001079199999999,5.368e-05,3.26e-05
28,2025-05-29 00:00:00+00:00,105589.75,19834.70116,105539.9,213101.255,4.792333333333333e-05,0.00014377,8.379e-05,3.186e-05
29,2025-05-30 00:00:00+00:00,103985.48,23706.49799,103950.0,219701.302,4.621e-05,0.00013863,7.392e-05,2.622e-05
30,2025-05-31 00:00:00+00:00,104591.88,11289.35922,104544.7,103607.84,6.915e-05,0.00020745,4.687e-05,8.506e-05
31,2025-06-01 00:00:00+00:00,,,105583.3,97420.24,1.9566666666666667e-05,5.87e-05,4.117e-05,-5.82e-06
32,2025-06-02 00:00:00+00:00,105857.99,13453.98813,105814.3,158252.918,3.139333333333333e-05,9.418e-05,4.467e-05,-6.42e-06
33,2025-06-03 00:00:00+00:00,105376.89,13259.52634,105330.1,139216.007,5.1756666666666665e-05,0.00015527,4.456e-05,5.005e-05
34,2025-06-04 00:00:00+00:00,104696.86,14034.89482,104641.8,118534.125,1.1873333333333334e-05,3.562e-05,9.62e-06,-1.1e-07
35,2025-06-05 00:00:00+00:00,101508.68,22321.50154,101458.6,246238.674,2.7003333333333333e-05,8.101e-05,5.156e-05,7.4e-07
36,2025-06-06 00:00:00+00:00,104288.44,15839.07385,104240.0,174300.906,-3.172e-05,-9.516e-05,-2.995e-05,-3.491e-05
37,2025-06-07 00:00:00+00:00,105552.15,8344.93206,105507.5,79833.173,-1.918e-05,-5.7539999999999995e-05,2.94e-06,-2.89e-05
38,2025-06-08 00:00:00+00:00,105734.0,8048.06305,105676.5,75105.104,2.2730000000000004e-05,6.819000000000001e-05,-3.602e-05,4.808e-05
39,2025-06-09 00:00:00+00:00,110263.02,19975.37451,110227.9,192956.409,1.639e-05,4.9170000000000005e-05,3.057e-05,-2.164e-05
40,2025-06-10 00:00:00+00:00,110274.39,17071.82839,110235.4,152216.974,8.179666666666667e-05,0.00024539,8.165e-05,6.374e-05
41,2025-06-11 00:00:00+00:00,108645.12,13115.91638,108600.0,134422.321,7.402666666666667e-05,0.00022208,5.039e-05,8.779e-05
42,2025-06-12 00:00:00+00:00,105671.73,17778.67218,105609.5,185790.19,3.4336666666666666e-05,0.00010301,1.198e-05,1.856e-05
43,2025-06-13 00:00:00+00:00,106066.59,26180.81734,106027.3,245935.413,5.953333333333333e-06,1.786e-05,3.857e-05,-1.801e-05
44,2025-06-14 00:00:00+00:00,105414.64,8798.93969,105359.9,79911.57,2.317e-05,6.951e-05,1.135e-05,1.958e-05
45,2025-06-15 00:00:00+00:00,105594.01,7164.20047,105534.6,78819.399,1.722333333333333e-05,5.167e-05,7.369e-05,-3.641e-05
46,2025-06-16 00:00:00+00:00,106794.53,14922.6654,106750.1,166813.219,2.933e-05,8.799e-05,2.793e-05,9.36e-06
47,2025-06-17 00:00:00+00:00,104551.17,17866.33025,104508.0,226051.863,3.278e-05,9.834e-05,2.211e-05,1.847e-05
48,2025-06-18 00:00:00+00:00,104886.78,13968.64167,104832.8,172706.399,2.8783333333333333e-05,8.635e-05,6.692e-05,-1.752e-05
49,2025-06-19 00:00:00+00:00,104658.59,7678.60737,104607.1,87710.605,1.2856666666666668e-05,3.8570000000000005e-05,2.396e-05,8.45e-06
50,2025-06-20 00:00:00+00:00,103297.99,16419.06283,103246.1,199102.135,4.609000000000001e-05,0.00013827,2.4e-05,3.565e-05
51,2025-06-21 00:00:00+00:00,102120.01,11154.21332,102079.8,120771.35,4.45e-05,0.0001335,7.44e-05,3.977e-05
52,2025-06-22 00:00:00+00:00,100963.87,28746.41072,100904.7,293562.636,5.676e-05,0.00017028,4.145e-05,2.883e-05
53,2025-06-23 00:00:00+00:00,105333.93,27666.50609,105290.9,297222.041,3.3966666666666675e-06,1.0190000000000002e-05,4.889e-05,-1.061e-05
54,2025-06-24 00:00:00+00:00,106083.0,14651.69335,106034.9,144449.887,9.7e-06,2.9100000000000003e-05,4.47e-06,1.245e-05
55,2025-06-25 00:00:00+00:00,107340.58,16701.15551,107280.0,159277.823,1.7833333333333338e-06,5.350000000000001e-06,9.62e-06,-3.174e-05
56,2025-06-26 00:00:00+00:00,106947.06,10573.27279,106913.7,114433.386,1.542666666666667e-05,4.628000000000001e-05,6.82e-06,1.41e-06
57,2025-06-27 00:00:00+00:00,107047.59,12232.44042,107010.7,118637.45,2.1110000000000003e-05,6.333e-05,2.557e-05,1.113e-05
58,2025-06-28 00:00:00+00:00,107296.79,3282.17352,107241.0,35670.419,3.108666666666667e-05,9.326e-05,4.434e-05,-1.161e-05
59,2025-06-29 00:00:00+00:00,108356.93,6831.7364,108309.8,79448.325,5.5366666666666666e-05,0.0001661,0.0001,1.25e-05
60,2025-06-30 00:00:00+00:00,107146.5,9754.12491,107087.4,114681.386,2.988666666666667e-05,8.966e-05,4.923e-05,1.084e-05
61,2025-07-01 00:00:00+00:00,,,105637.9,120434.401,2.1653333333333335e-05,6.496e-05,1.109e-05,1.053e-05
62,2025-07-02 00:00:00+00:00,108849.6,17691.89592,108800.0,177567.261,3.113333333333333e-05,9.34e-05,4.13e-05,1.807e-05
63,2025-07-03 00:00:00+00:00,109584.78,13047.08225,109545.2,141487.997,4.487e-05,0.00013461,5.028e-05,4.871e-05
64,2025-07-04 00:00:00+00:00,107984.24,11793.86615,107935.4,132305.847,4.0119999999999995e-05,0.0001203599999999,1.797e-05,5.23e-05
65,2025-07-05 00:00:00+00:00,108198.12,3736.9757,108153.4,36660.948,2.7086666666666663e-05,8.125999999999999e-05,4.005e-05,1.066e-05
66,2025-07-06 00:00:00+00:00,109203.84,6447.607,109145.8,72388.603,1.5446666666666666e-05,4.6339999999999993e-05,1.028e-05,1.941e-05
67,2025-07-07 00:00:00+00:00,108262.94,9405.37601,108203.9,106397.578,3.356333333333334e-05,0.00010069,4.271e-05,2.36e-05
68,2025-07-08 00:00:00+00:00,108922.98,9216.0208,108873.1,95156.027,3.079e-05,9.237e-05,3.601e-05,1.073e-05
69,2025-07-09 00:00:00+00:00,111233.99,17282.2865,111199.9,167834.731,3.5806666666666664e-05,0.00010742,4.253e-05,3.093e-05
70,2025-07-10 00:00:00+00:00,116010.0,24883.450665,115979.2,225570.213,6.810333333333333e-05,0.0002043099999999,1.908e-05,0.0001
71,2025-07-11 00:00:00+00:00,117527.66,25873.521148,117500.0,199819.357,0.0001,0.0003,0.0001,0.0001
72,2025-07-12 00:00:00+00:00,117420.0,8446.60437,117389.3,63722.472,0.0001,0.0003,0.0001,0.0001
73,2025-07-13 00:00:00+00:00,119086.64,9550.792947,119038.3,90052.381,0.0001,0.0003,0.0001,0.0001
74,2025-07-14 00:00:00+00:00,119841.18,27269.348877,119816.5,221556.12,9.350333333333332e-05,0.00028051,0.0001,8.051e-05
75,2025-07-15 00:00:00+00:00,117758.09,32018.46083,117738.5,269977.446,0.0001,0.0003,0.0001,0.0001
76,2025-07-16 00:00:00+00:00,118630.43,17039.90851,118590.7,159165.948,0.0001,0.0003,0.0001,0.0001
77,2025-07-17 00:00:00+00:00,119177.56,15728.57651,119176.6,164274.401,0.0001,0.0003,0.0001,0.0001
78,2025-07-18 00:00:00+00:00,117924.84,19924.66266,117896.4,162246.906,0.0001,0.0003,0.0001,0.0001
79,2025-07-19 00:00:00+00:00,117840.0,6635.80306,117814.4,52531.193,0.0001,0.0003,0.0001,0.0001
80,2025-07-20 00:00:00+00:00,117265.12,12962.92889,117216.0,82380.582,0.0001,0.0003,0.0001,0.0001
81,2025-07-21 00:00:00+00:00,117380.36,17107.33128,117330.2,141885.848,0.0001,0.0003,0.0001,0.0001
82,2025-07-22 00:00:00+00:00,119954.42,20959.12973,119993.7,186832.45,0.0001,0.0003,0.0001,0.0001
83,2025-07-23 00:00:00+00:00,118755.99,14558.75083,118713.5,136986.897,0.0001,0.0003,0.0001,0.0001
84,2025-07-24 00:00:00+00:00,118340.99,15806.89043,118294.3,137377.613,0.0001,0.0003,0.0001,0.0001
85,2025-07-25 00:00:00+00:00,117614.31,38406.34873,117583.5,260386.754,0.0001,0.0003,0.0001,0.0001
86,2025-07-26 00:00:00+00:00,117919.99,6991.67206,117889.2,57218.604,0.0001,0.0003,0.0001,0.0001
87,2025-07-27 00:00:00+00:00,119415.55,9328.30919,119423.4,75978.959,0.0001,0.0003,0.0001,0.0001
88,2025-07-28 00:00:00+00:00,118062.32,13961.74754,118041.4,106712.329,0.0001,0.0003,0.0001,0.0001
89,2025-07-29 00:00:00+00:00,117950.76,15137.93445,117897.0,115263.463,0.0001,0.0003,0.0001,0.0001
90,2025-07-30 00:00:00+00:00,117840.3,15586.73631,117771.0,124917.857,0.0001,0.0003,0.0001,0.0001
91,2025-07-31 00:00:00+00:00,115764.08,17010.0073,115697.3,135037.467,8.564666666666667e-05,0.00025694,0.0001,5.694e-05
92,2025-08-01 00:00:00+00:00,,,113244.8,221282.099,1.9406666666666665e-05,5.8219999999999995e-05,5.681e-05,-1.408e-05
93,2025-08-02 00:00:00+00:00,112546.35,11507.33428,112508.8,102459.448,3.380333333333333e-05,0.0001014099999999,4.437e-05,4.81e-05
94,2025-08-03 00:00:00+00:00,114208.8,7397.76046,114150.8,63183.869,5.89e-05,0.0001767,7.504e-05,5.633e-05
95,2025-08-04 00:00:00+00:00,115055.03,9667.67916,115002.1,83328.591,4.606333333333334e-05,0.00013819,3.912e-05,4.188e-05
96,2025-08-05 00:00:00+00:00,114129.75,12042.79078,114069.6,119316.428,6.824666666666668e-05,0.00020474,4.784e-05,7.101e-05
97,2025-08-06 00:00:00+00:00,114992.27,9761.15318,114941.0,98598.67,7.578333333333334e-05,0.00022735,8.288e-05,5.172e-05
98,2025-08-07 00:00:00+00:00,117472.01,13468.56263,117419.9,134409.055,6.230666666666666e-05,0.0001869199999999,6.275e-05,4.843e-05
99,2025-08-08 00:00:00+00:00,116674.74,10045.31278,116628.2,89828.611,4.035e-05,0.0001210499999999,7.973e-05,2.403e-05
100,2025-08-09 00:00:00+00:00,116462.25,9514.13144,116422.1,77924.534,7.691000000000001e-05,0.00023073,5.151e-05,8.835e-05
101,2025-08-10 00:00:00+00:00,119294.01,14322.77073,119255.3,130331.779,9.949666666666668e-05,0.00029849,0.0001,9.849e-05
102,2025-08-11 00:00:00+00:00,118686.0,26494.33429,118641.9,217088.254,0.0001,0.0003,0.0001,0.0001
103,2025-08-12 00:00:00+00:00,120134.08,16720.10893,120081.0,125708.555,8.843666666666666e-05,0.00026531,8.543e-05,0.0001
104,2025-08-13 00:00:00+00:00,123306.43,23210.07102,123323.9,188073.873,9.041e-05,0.00027123,0.0001,7.123e-05
105,2025-08-14 00:00:00+00:00,118295.09,27980.947586,118242.2,259801.57,0.0001,0.0003,0.0001,0.0001
106,2025-08-15 00:00:00+00:00,117342.05,13623.33874,117279.2,120542.357,4.5503333333333335e-05,0.00013651,3.722e-05,1.939e-05
107,2025-08-16 00:00:00+00:00,117380.66,6393.68117,117329.7,46674.42,8.713666666666667e-05,0.00026141,9.023e-05,8.85e-05
108,2025-08-17 00:00:00+00:00,117405.01,5898.64192,117353.8,54386.804,4.916e-05,0.00014748,1.862e-05,8.206e-05
109,2025-08-18 00:00:00+00:00,116227.05,17745.93954,116183.6,147219.779,2.4866666666666667e-05,7.46e-05,5.296e-05,2.846e-05
110,2025-08-19 00:00:00+00:00,112872.94,18065.47424,112824.2,141024.287,5.522e-05,0.0001656599999999,3.167e-05,7.137e-05
111,2025-08-20 00:00:00+00:00,114271.24,15636.34194,114220.5,130522.37,3.614333333333333e-05,0.0001084299999999,4.936e-05,4.543e-05
112,2025-08-21 00:00:00+00:00,112500.0,10839.69235,112462.2,96406.356,5.438000000000001e-05,0.00016314,7.414e-05,1.143e-05
113,2025-08-22 00:00:00+00:00,116935.99,23128.09037,116897.5,199447.977,7.721e-05,0.00023163,5.867e-05,7.296e-05
114,2025-08-23 00:00:00+00:00,115438.05,11329.36197,115377.1,78419.415,9.903666666666667e-05,0.00029711,9.711e-05,0.0001
115,2025-08-24 00:00:00+00:00,113493.59,21175.98462,113446.3,133388.002,0.0001,0.0003,0.0001,0.0001
116,2025-08-25 00:00:00+00:00,110111.98,25182.79379,110064.0,204839.785,9.448000000000002e-05,0.00028344,8.344e-05,0.0001
117,2025-08-26 00:00:00+00:00,111763.22,18452.43877,111709.9,145041.438,6.140666666666667e-05,0.00018422,0.0001,4.522e-05
118,2025-08-27 00:00:00+00:00,111262.01,13392.60875,111194.9,114205.122,3.600333333333333e-05,0.0001080099999999,3.496e-05,1.802e-05
119,2025-08-28 00:00:00+00:00,112566.9,11104.27744,112507.3,97630.277,7.500666666666666e-05,0.0002250199999999,7.512e-05,5.297e-05
120,2025-08-29 00:00:00+00:00,108377.4,22580.31045,108332.4,179725.172,3.587e-05,0.00010761,6.44e-06,4.261e-05
121,2025-08-30 00:00:00+00:00,108816.33,10708.39159,108757.9,60656.883,7.848000000000001e-05,0.00023544,8.042e-05,7.523e-05
122,2025-08-31 00:00:00+00:00,108246.35,9489.51596,108208.4,70149.546,4.5056666666666665e-05,0.00013517,0.0001,-1.232e-05
