entry_time,exit_time,side,entry_price,exit_price,entry_funding,bars_held,pnl_pct,exit_reason
2024-01-31 03:00:00+00:00,2024-02-07 19:00:00+00:00,LONG,42918.0,43596.1,2.154e-05,42,1.4999897478913242,time_limit
2024-02-17 19:00:00+00:00,2024-02-20 15:00:00+00:00,SHORT,51428.8,52971.664000000004,0.00016041,17,-3.0800000000000027,stop_loss
2024-02-14 19:00:00+00:00,2024-02-21 19:00:00+00:00,SHORT,51707.5,51082.0,0.00012283,42,1.129689116665861,time_limit
2024-02-26 11:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51126.4,52660.192,0.00021567,1,-3.0800000000000023,stop_loss
2024-02-23 19:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51131.0,52664.93,0.00012991,15,-3.0800000000000005,stop_loss
2024-02-18 19:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51791.5,52872.3,0.00017095,42,-2.1668289198034483,time_limit
2024-02-25 11:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51672.3,53222.469000000005,0.00015012,8,-3.080000000000003,stop_loss
2024-02-22 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51547.0,53093.41,0.00012557,22,-3.0800000000000067,stop_loss
2024-02-20 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,52131.3,53695.239,0.00020259,31,-3.079999999999997,stop_loss
2024-02-19 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51851.6,53407.148,0.00013327,37,-3.080000000000005,stop_loss
2024-02-27 11:00:00+00:00,2024-02-28 07:00:00+00:00,SHORT,56581.4,58278.842000000004,0.00073521,5,-3.080000000000005,stop_loss
2024-02-28 11:00:00+00:00,2024-02-28 15:00:00+00:00,SHORT,58997.4,60767.322,0.00023682,1,-3.079999999999998,stop_loss
2024-03-02 19:00:00+00:00,2024-03-04 03:00:00+00:00,SHORT,62185.3,64050.859000000004,0.00056396,8,-3.080000000000002,stop_loss
2024-03-01 11:00:00+00:00,2024-03-04 03:00:00+00:00,SHORT,61927.7,63785.530999999995,0.00064824,15,-3.0799999999999974,stop_loss
2024-03-03 19:00:00+00:00,2024-03-04 11:00:00+00:00,SHORT,62797.1,64681.013,0.00044598,4,-3.080000000000001,stop_loss
2024-02-29 11:00:00+00:00,2024-03-04 11:00:00+00:00,SHORT,63019.8,64910.39400000001,0.00076337,23,-3.080000000000007,stop_loss
2024-03-04 19:00:00+00:00,2024-03-05 19:00:00+00:00,SHORT,67483.2,61510.2,0.0006362,6,8.771091827299239,profit_target
2024-03-07 19:00:00+00:00,2024-03-08 15:00:00+00:00,SHORT,67559.3,69586.079,0.00054217,5,-3.0799999999999925,stop_loss
2024-03-06 19:00:00+00:00,2024-03-08 15:00:00+00:00,SHORT,66803.5,68807.605,0.00049354,11,-3.079999999999994,stop_loss
2024-03-11 03:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,68657.4,70717.122,0.00035489,1,-3.080000000000013,stop_loss
2024-03-10 03:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,69208.1,71284.34300000001,0.0003101,7,-3.080000000000003,stop_loss
2024-03-08 19:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,68922.0,70989.66,0.00062913,14,-3.080000000000005,stop_loss
2024-03-14 11:00:00+00:00,2024-03-15 03:00:00+00:00,SHORT,72939.4,68266.0,0.00038753,4,6.3272366923775,profit_target
2024-03-13 03:00:00+00:00,2024-03-16 19:00:00+00:00,SHORT,72135.8,66969.1,0.00033224,20,7.082463021135132,profit_target
2024-03-12 03:00:00+00:00,2024-03-16 19:00:00+00:00,SHORT,71673.4,66969.1,0.0004447,26,6.483522869014152,profit_target
2024-03-24 19:00:00+00:00,2024-03-25 19:00:00+00:00,SHORT,65886.8,67863.40400000001,0.00015884,5,-3.08000000000001,stop_loss
2024-03-21 11:00:00+00:00,2024-03-25 19:00:00+00:00,SHORT,67082.3,69094.769,0.00019304,25,-3.0799999999999956,stop_loss
2024-03-31 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70442.6,65946.8,0.00039889,10,6.302217578567519,profit_target
2024-03-30 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70237.1,65946.8,0.00032267,16,6.028310280464316,profit_target
2024-03-29 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70182.9,65946.8,0.00025456,22,5.955800743485937,profit_target
2024-03-28 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70707.7,65946.8,0.00029899,28,6.653212931547758,profit_target
2024-03-27 03:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70445.1,65946.8,0.00028757,35,6.305539945290733,profit_target
2024-03-26 03:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70473.8,65946.8,0.00021963,41,6.343663829678547,profit_target
2024-04-01 19:00:00+00:00,2024-04-08 11:00:00+00:00,SHORT,69682.1,71772.56300000001,0.00027469,36,-3.080000000000005,stop_loss
2024-04-09 03:00:00+00:00,2024-04-12 19:00:00+00:00,SHORT,71339.0,66867.5,0.00020915,17,6.187960021867422,profit_target
2024-04-11 03:00:00+00:00,2024-04-13 19:00:00+00:00,SHORT,70900.5,64779.1,0.00013979,15,8.55378960656131,profit_target
2024-04-26 11:00:00+00:00,2024-04-29 03:00:00+00:00,LONG,64213.6,62287.191999999995,6.85e-06,15,-3.080000000000005,stop_loss
2024-04-28 19:00:00+00:00,2024-04-29 15:00:00+00:00,LONG,63688.9,61778.233,2.782e-05,5,-3.080000000000002,stop_loss
2024-04-27 19:00:00+00:00,2024-04-30 11:00:00+00:00,LONG,63329.8,61429.906,2.834e-05,16,-3.0800000000000005,stop_loss
2024-05-12 03:00:00+00:00,2024-05-15 15:00:00+00:00,LONG,60902.5,64685.5,2.604e-05,18,6.131567669635894,profit_target
2024-05-15 11:00:00+00:00,2024-05-15 19:00:00+00:00,LONG,62447.4,65959.6,-3.85e-06,2,5.544253371637577,profit_target
2024-05-20 11:00:00+00:00,2024-05-20 19:00:00+00:00,LONG,66974.0,69996.4,2.479e-05,2,4.432796010392083,profit_target
2024-05-22 11:00:00+00:00,2024-05-29 15:00:00+00:00,SHORT,69770.3,67421.0,0.00015759,42,3.2871920573653877,time_limit
2024-05-31 03:00:00+00:00,2024-06-04 19:00:00+00:00,SHORT,68574.0,70631.22,0.00014599,27,-3.080000000000002,stop_loss
2024-06-03 11:00:00+00:00,2024-06-05 03:00:00+00:00,SHORT,69125.5,71199.265,0.00014135,10,-3.079999999999999,stop_loss
2024-06-05 11:00:00+00:00,2024-06-11 15:00:00+00:00,SHORT,71008.4,66266.0,0.00016387,32,6.598646469995092,profit_target
2024-06-19 19:00:00+00:00,2024-06-24 03:00:00+00:00,LONG,64851.3,62905.761,2.967e-05,26,-3.0800000000000067,stop_loss
2024-06-23 11:00:00+00:00,2024-06-24 11:00:00+00:00,LONG,64310.7,62381.37899999999,2.307e-05,5,-3.080000000000006,stop_loss
2024-08-14 19:00:00+00:00,2024-08-15 19:00:00+00:00,LONG,58854.0,57088.38,-7.811e-05,6,-3.0800000000000045,stop_loss
2024-08-12 19:00:00+00:00,2024-08-15 19:00:00+00:00,LONG,59025.9,57255.123,-2.238e-05,18,-3.080000000000003,stop_loss
2024-08-15 19:00:00+00:00,2024-08-16 19:00:00+00:00,LONG,57002.4,59649.2,-6.181e-05,6,4.563313264002911,profit_target
2024-08-19 03:00:00+00:00,2024-08-21 19:00:00+00:00,LONG,58696.6,61538.1,-3.616e-05,12,4.760995900955081,profit_target
2024-08-21 11:00:00+00:00,2024-08-23 19:00:00+00:00,LONG,59332.4,63577.2,-5.91e-06,12,7.0742698424469515,profit_target
2024-08-28 03:00:00+00:00,2024-08-30 19:00:00+00:00,LONG,59597.3,57809.381,-6.803e-05,14,-3.0800000000000027,stop_loss
2024-08-29 19:00:00+00:00,2024-09-01 23:00:00+00:00,LONG,59237.0,57459.89,5.59e-06,18,-3.080000000000001,stop_loss
2024-09-01 19:00:00+00:00,2024-09-04 03:00:00+00:00,LONG,58480.8,56726.376000000004,-3.82e-06,10,-3.0799999999999983,stop_loss
2024-08-30 19:00:00+00:00,2024-09-04 03:00:00+00:00,LONG,58670.1,56909.996999999996,2.927e-05,21,-3.080000000000005,stop_loss
2024-09-05 11:00:00+00:00,2024-09-06 19:00:00+00:00,LONG,56666.1,54966.117,2.025e-05,6,-3.0800000000000005,stop_loss
2024-09-04 03:00:00+00:00,2024-09-06 19:00:00+00:00,LONG,56632.9,54933.913,2.209e-05,14,-3.080000000000002,stop_loss
2024-09-08 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,54301.3,57060.1,-5.245e-05,6,5.000541349838762,profit_target
2024-09-07 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,54375.0,57060.1,-7.236e-05,12,4.858114942528733,profit_target
2024-09-06 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,53515.3,57060.1,1.428e-05,18,6.543900080911432,profit_target
2024-09-17 11:00:00+00:00,2024-09-19 03:00:00+00:00,LONG,59055.1,62086.5,1.911e-05,9,5.05317224083949,profit_target
2024-09-25 19:00:00+00:00,2024-09-27 15:00:00+00:00,LONG,63151.6,65974.0,1.336e-05,10,4.389245434795003,profit_target
2024-09-24 03:00:00+00:00,2024-09-27 15:00:00+00:00,LONG,63097.6,65974.0,2.324e-05,18,4.478651993102751,profit_target
2024-10-10 03:00:00+00:00,2024-10-10 19:00:00+00:00,LONG,60838.7,59013.539,2.09e-05,4,-3.0800000000000005,stop_loss
2024-10-05 19:00:00+00:00,2024-10-10 19:00:00+00:00,LONG,61822.4,59967.728,8.61e-06,28,-3.079999999999998,stop_loss
2024-10-04 11:00:00+00:00,2024-10-10 19:00:00+00:00,LONG,61423.0,59580.31,2.119e-05,35,-3.0800000000000036,stop_loss
2024-10-11 03:00:00+00:00,2024-10-11 19:00:00+00:00,LONG,60572.6,63042.4,2.231e-05,4,3.9974211442137255,profit_target
2024-11-10 11:00:00+00:00,2024-11-11 11:00:00+00:00,SHORT,79926.7,82324.501,0.00025603,5,-3.0800000000000085,stop_loss
2024-11-12 11:00:00+00:00,2024-11-12 23:00:00+00:00,SHORT,87229.5,89846.38500000001,0.00043737,3,-3.0800000000000107,stop_loss
2024-11-13 19:00:00+00:00,2024-11-13 19:00:00+00:00,SHORT,90218.8,92925.364,0.00021856,0,-3.0799999999999983,stop_loss
2024-11-18 11:00:00+00:00,2024-11-19 19:00:00+00:00,SHORT,90338.7,93048.861,0.0003645,8,-3.080000000000008,stop_loss
2024-11-16 19:00:00+00:00,2024-11-19 19:00:00+00:00,SHORT,91176.9,93912.207,0.00013231,17,-3.080000000000001,stop_loss
2024-11-19 11:00:00+00:00,2024-11-20 15:00:00+00:00,SHORT,91717.6,94469.12800000001,0.00030216,6,-3.0800000000000063,stop_loss
2024-11-28 11:00:00+00:00,2024-11-29 15:00:00+00:00,SHORT,95509.9,98375.197,0.00014326,7,-3.0800000000000067,stop_loss
2024-11-24 11:00:00+00:00,2024-12-01 15:00:00+00:00,SHORT,97337.6,97081.4,0.00016148,42,0.1832076402130437,time_limit
2024-12-04 03:00:00+00:00,2024-12-04 23:00:00+00:00,SHORT,95852.0,98727.56,0.00026634,5,-3.0799999999999974,stop_loss
2024-12-02 19:00:00+00:00,2024-12-04 23:00:00+00:00,SHORT,95873.9,98750.117,0.00013387,13,-3.0800000000000045,stop_loss
2024-11-30 19:00:00+00:00,2024-12-05 03:00:00+00:00,SHORT,97072.5,99984.675,0.00012063,23,-3.080000000000003,stop_loss
2024-11-29 19:00:00+00:00,2024-12-05 03:00:00+00:00,SHORT,97380.0,100301.40000000001,0.00021921,29,-3.080000000000009,stop_loss
2024-12-05 11:00:00+00:00,2024-12-10 15:00:00+00:00,SHORT,102668.2,95687.9,0.00072446,28,6.718891964600531,profit_target
2024-12-08 19:00:00+00:00,2024-12-15 15:00:00+00:00,SHORT,100182.3,103187.769,0.0001758,33,-3.0799999999999974,stop_loss
2024-12-07 19:00:00+00:00,2024-12-15 15:00:00+00:00,SHORT,100140.6,103144.81800000001,0.0001409,39,-3.080000000000008,stop_loss
2024-12-30 03:00:00+00:00,2025-01-03 15:00:00+00:00,LONG,93681.1,97479.5,-4.2e-07,23,3.9746065321606965,profit_target
2025-01-11 19:00:00+00:00,2025-01-13 11:00:00+00:00,LONG,94206.5,91380.305,2.608e-05,10,-3.0800000000000076,stop_loss
2025-01-09 19:00:00+00:00,2025-01-13 15:00:00+00:00,LONG,91858.3,89102.551,-5.44e-06,23,-3.0799999999999956,stop_loss
2025-01-13 19:00:00+00:00,2025-01-14 11:00:00+00:00,LONG,92274.8,96508.4,8.81e-06,4,4.508034869758581,profit_target
2025-01-24 03:00:00+00:00,2025-01-27 03:00:00+00:00,LONG,103842.6,100727.322,3.34e-06,17,-3.0800000000000054,stop_loss
2025-01-27 19:00:00+00:00,2025-01-29 23:00:00+00:00,LONG,99660.4,103698.2,9.8e-07,13,3.9715590946855546,profit_target
2025-02-02 19:00:00+00:00,2025-02-03 03:00:00+00:00,LONG,98232.0,95285.04,-8.61e-06,2,-3.0800000000000067,stop_loss
2025-02-08 03:00:00+00:00,2025-02-15 23:00:00+00:00,LONG,96660.0,97538.0,-4.1e-05,42,0.8283385061038693,time_limit
2025-02-09 19:00:00+00:00,2025-02-17 15:00:00+00:00,LONG,96011.4,95605.5,2.839e-05,42,-0.502762296977228,time_limit
2025-02-16 11:00:00+00:00,2025-02-18 19:00:00+00:00,LONG,97293.1,94374.307,1.82e-06,14,-3.080000000000005,stop_loss
2025-02-15 03:00:00+00:00,2025-02-18 19:00:00+00:00,LONG,97619.4,94690.81799999998,5.5e-07,22,-3.08000000000001,stop_loss
2025-02-11 19:00:00+00:00,2025-02-19 15:00:00+00:00,LONG,94988.0,95895.4,-2.446e-05,42,0.8752785615024994,time_limit
2025-02-22 19:00:00+00:00,2025-02-24 19:00:00+00:00,LONG,96596.6,93698.702,2.318e-05,12,-3.080000000000001,stop_loss
2025-02-23 19:00:00+00:00,2025-02-24 23:00:00+00:00,LONG,95706.5,92835.305,1.478e-05,7,-3.080000000000007,stop_loss
2025-02-21 19:00:00+00:00,2025-02-24 23:00:00+00:00,LONG,95247.5,92390.075,-9.7e-07,19,-3.080000000000003,stop_loss
2025-02-17 19:00:00+00:00,2025-02-24 23:00:00+00:00,LONG,95490.8,92626.076,2.009e-05,42,-3.080000000000002,stop_loss
2025-02-24 19:00:00+00:00,2025-02-25 03:00:00+00:00,LONG,93916.1,91098.617,2.05e-05,2,-3.080000000000008,stop_loss
2025-02-25 19:00:00+00:00,2025-02-26 19:00:00+00:00,LONG,87914.3,85276.871,1.385e-05,6,-3.080000000000004,stop_loss
2025-03-19 03:00:00+00:00,2025-03-19 23:00:00+00:00,LONG,83008.4,86809.8,2e-06,5,4.499536528833238,profit_target
2025-03-18 03:00:00+00:00,2025-03-19 23:00:00+00:00,LONG,83107.6,86809.8,7.03e-06,11,4.374706910078015,profit_target
2025-03-23 03:00:00+00:00,2025-03-24 11:00:00+00:00,LONG,84195.1,87643.5,2.099e-05,8,4.015725285675762,profit_target
2025-03-21 19:00:00+00:00,2025-03-24 11:00:00+00:00,LONG,83925.0,87643.5,2.518e-05,15,4.350741733690795,profit_target
2025-03-31 03:00:00+00:00,2025-04-01 19:00:00+00:00,LONG,81491.5,84911.7,2.643e-05,9,4.117002141327619,profit_target
2025-03-29 19:00:00+00:00,2025-04-02 15:00:00+00:00,LONG,82722.9,86709.5,2.53e-05,21,4.739221763260241,profit_target
2025-04-05 19:00:00+00:00,2025-04-06 19:00:00+00:00,LONG,82818.7,80334.139,4.08e-06,6,-3.080000000000002,stop_loss
2025-04-16 03:00:00+00:00,2025-04-21 03:00:00+00:00,LONG,83654.0,87166.6,2.428e-05,28,4.118962392712848,profit_target
2025-04-20 03:00:00+00:00,2025-04-22 11:00:00+00:00,LONG,85116.6,88572.7,-2.98e-06,9,3.9804300453730423,profit_target
2025-04-19 03:00:00+00:00,2025-04-22 11:00:00+00:00,LONG,84845.3,88572.7,2.93e-05,15,4.313172043707776,profit_target
2025-04-18 03:00:00+00:00,2025-04-22 11:00:00+00:00,LONG,84790.3,88572.7,1.788e-05,21,4.380887625117489,profit_target
2025-05-05 03:00:00+00:00,2025-05-08 03:00:00+00:00,LONG,94001.1,99097.9,-2.404e-05,11,5.3420642098868925,profit_target
2025-05-03 03:00:00+00:00,2025-05-09 19:00:00+00:00,LONG,96292.1,103145.5,-5.953e-05,21,7.037302457834021,profit_target
2025-05-17 03:00:00+00:00,2025-05-22 11:00:00+00:00,LONG,103464.7,110944.1,2.821e-05,20,7.148938952125709,profit_target
2025-06-05 11:00:00+00:00,2025-06-05 19:00:00+00:00,LONG,104772.7,101629.519,2.871e-05,2,-3.0799999999999974,stop_loss
2025-06-04 03:00:00+00:00,2025-06-05 19:00:00+00:00,LONG,105474.9,102310.65299999999,-1.1e-07,9,-3.080000000000003,stop_loss
2025-06-13 03:00:00+00:00,2025-06-16 19:00:00+00:00,LONG,104233.9,108594.2,-1.801e-05,16,4.103188003135259,profit_target
2025-06-19 19:00:00+00:00,2025-06-21 23:00:00+00:00,LONG,104202.6,101076.522,2.396e-05,6,-3.080000000000008,stop_loss
2025-06-14 19:00:00+00:00,2025-06-21 23:00:00+00:00,LONG,104582.3,101444.831,1.135e-05,19,-3.0799999999999974,stop_loss
2025-06-23 03:00:00+00:00,2025-06-24 15:00:00+00:00,LONG,101104.4,105184.4,-1.061e-05,4,3.955432681465891,profit_target
2025-08-02 11:00:00+00:00,2025-08-11 03:00:00+00:00,LONG,113732.5,121700.1,8.94e-06,30,6.9255612951443135,profit_target
2025-08-18 03:00:00+00:00,2025-08-25 07:00:00+00:00,LONG,115264.9,111806.953,2.846e-05,22,-3.0800000000000005,stop_loss
2025-08-20 11:00:00+00:00,2025-08-26 03:00:00+00:00,LONG,113627.5,110218.675,1.364e-05,14,-3.0799999999999974,stop_loss
